元シート,列車番号,駅順,駅名,発車,到着,方向,区間,発車_判定用,到着_判定用,発着チェック
〇【上】ST　ｷｾ～ﾂｶ,A1642S,4,牛田,||,,上り,〇【上】ST　ｷｾ～ﾂｶ,||,,始発
〇【上】ST　ｷｾ～ﾂｶ,A1642S,5,北千住,17.01.30,17.00.20,上り,〇【上】ST　ｷｾ～ﾂｶ,17.01.30,17.00.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A1642S,6,小菅,58.20,57.50,上り,〇【上】ST　ｷｾ～ﾂｶ,58.20,57.50,途中
〇【上】ST　ｷｾ～ﾂｶ,A1642S,7,五反野,56.30,56   ,上り,〇【上】ST　ｷｾ～ﾂｶ,56.30,56,途中
〇【上】ST　ｷｾ～ﾂｶ,A1642S,8,梅島,54.40,54.10,上り,〇【上】ST　ｷｾ～ﾂｶ,54.40,54.10,途中
〇【上】ST　ｷｾ～ﾂｶ,A1642S,9,西新井,52.40,51.40,上り,〇【上】ST　ｷｾ～ﾂｶ,52.40,51.40,途中
〇【上】ST　ｷｾ～ﾂｶ,A1642S,10,竹ノ塚,16.49.30,,上り,〇【上】ST　ｷｾ～ﾂｶ,16.49.30,,始発
〇【上】ST　ｷｾ～ﾂｶ,A1654S,2,鐘ヶ淵,,(中目黒),上り,〇【上】ST　ｷｾ～ﾂｶ,,(中目黒),終着
〇【上】ST　ｷｾ～ﾂｶ,A1654S,3,堀切,,＝,上り,〇【上】ST　ｷｾ～ﾂｶ,,＝,異常
〇【上】ST　ｷｾ～ﾂｶ,A1654S,4,牛田,,||,上り,〇【上】ST　ｷｾ～ﾂｶ,,||,終着
〇【上】ST　ｷｾ～ﾂｶ,A1654S,5,北千住,10.10,17.11.45,上り,〇【上】ST　ｷｾ～ﾂｶ,10.10,17.11.45,途中
〇【上】ST　ｷｾ～ﾂｶ,A1654S,6,小菅,07.40,08.10,上り,〇【上】ST　ｷｾ～ﾂｶ,07.40,08.10,途中
〇【上】ST　ｷｾ～ﾂｶ,A1654S,7,五反野,05.50,06.20,上り,〇【上】ST　ｷｾ～ﾂｶ,05.50,06.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A1654S,8,梅島,04   ,04.30,上り,〇【上】ST　ｷｾ～ﾂｶ,04,04.30,途中
〇【上】ST　ｷｾ～ﾂｶ,A1654S,9,西新井,17.01.30,02.30,上り,〇【上】ST　ｷｾ～ﾂｶ,17.01.30,02.30,途中
〇【上】ST　ｷｾ～ﾂｶ,A1654S,10,竹ノ塚,,16.59.20,上り,〇【上】ST　ｷｾ～ﾂｶ,,16.59.20,終着
〇【上】ST　ｷｾ～ﾂｶ,A1711T,2,鐘ヶ淵,(中目黒),,上り,〇【上】ST　ｷｾ～ﾂｶ,(中目黒),,始発
〇【上】ST　ｷｾ～ﾂｶ,A1711T,3,堀切,＝,,上り,〇【上】ST　ｷｾ～ﾂｶ,＝,,異常
〇【上】ST　ｷｾ～ﾂｶ,A1711T,4,牛田,||,,上り,〇【上】ST　ｷｾ～ﾂｶ,||,,始発
〇【上】ST　ｷｾ～ﾂｶ,A1711T,5,北千住,17.20.55,19.30,上り,〇【上】ST　ｷｾ～ﾂｶ,17.20.55,19.30,途中
〇【上】ST　ｷｾ～ﾂｶ,A1711T,6,小菅,17.30,17   ,上り,〇【上】ST　ｷｾ～ﾂｶ,17.30,17,途中
〇【上】ST　ｷｾ～ﾂｶ,A1711T,7,五反野,15.40,15.10,上り,〇【上】ST　ｷｾ～ﾂｶ,15.40,15.10,途中
〇【上】ST　ｷｾ～ﾂｶ,A1711T,8,梅島,13.50,13.20,上り,〇【上】ST　ｷｾ～ﾂｶ,13.50,13.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A1711T,9,西新井,11.50,10.50,上り,〇【上】ST　ｷｾ～ﾂｶ,11.50,10.50,途中
〇【上】ST　ｷｾ～ﾂｶ,A1711T,10,竹ノ塚,17.08.40,,上り,〇【上】ST　ｷｾ～ﾂｶ,17.08.40,,始発
〇【上】ST　ｷｾ～ﾂｶ,A1722S,2,鐘ヶ淵,,(中目黒),上り,〇【上】ST　ｷｾ～ﾂｶ,,(中目黒),終着
〇【上】ST　ｷｾ～ﾂｶ,A1722S,3,堀切,,＝,上り,〇【上】ST　ｷｾ～ﾂｶ,,＝,異常
〇【上】ST　ｷｾ～ﾂｶ,A1722S,4,牛田,,||,上り,〇【上】ST　ｷｾ～ﾂｶ,,||,終着
〇【上】ST　ｷｾ～ﾂｶ,A1722S,5,北千住,41   ,17.42.50,上り,〇【上】ST　ｷｾ～ﾂｶ,41,17.42.50,途中
〇【上】ST　ｷｾ～ﾂｶ,A1722S,6,小菅,38.30,39   ,上り,〇【上】ST　ｷｾ～ﾂｶ,38.30,39,途中
〇【上】ST　ｷｾ～ﾂｶ,A1722S,7,五反野,36.40,37.10,上り,〇【上】ST　ｷｾ～ﾂｶ,36.40,37.10,途中
〇【上】ST　ｷｾ～ﾂｶ,A1722S,8,梅島,34.50,35.20,上り,〇【上】ST　ｷｾ～ﾂｶ,34.50,35.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A1722S,9,西新井,31.20,33.20,上り,〇【上】ST　ｷｾ～ﾂｶ,31.20,33.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A1722S,10,竹ノ塚,,17.29.10,上り,〇【上】ST　ｷｾ～ﾂｶ,,17.29.10,終着
〇【上】ST　ｷｾ～ﾂｶ,A1864S,2,鐘ヶ淵,(中目黒),,上り,〇【上】ST　ｷｾ～ﾂｶ,(中目黒),,始発
〇【上】ST　ｷｾ～ﾂｶ,A1864S,3,堀切,＝,,上り,〇【上】ST　ｷｾ～ﾂｶ,＝,,異常
〇【上】ST　ｷｾ～ﾂｶ,A1864S,4,牛田,||,,上り,〇【上】ST　ｷｾ～ﾂｶ,||,,始発
〇【上】ST　ｷｾ～ﾂｶ,A1864S,5,北千住,19.00.55,59.30,上り,〇【上】ST　ｷｾ～ﾂｶ,19.00.55,59.30,途中
〇【上】ST　ｷｾ～ﾂｶ,A1864S,6,小菅,57.30,57   ,上り,〇【上】ST　ｷｾ～ﾂｶ,57.30,57,途中
〇【上】ST　ｷｾ～ﾂｶ,A1864S,7,五反野,55.40,55.10,上り,〇【上】ST　ｷｾ～ﾂｶ,55.40,55.10,途中
〇【上】ST　ｷｾ～ﾂｶ,A1864S,8,梅島,53.50,53.20,上り,〇【上】ST　ｷｾ～ﾂｶ,53.50,53.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A1864S,9,西新井,51.50,50   ,上り,〇【上】ST　ｷｾ～ﾂｶ,51.50,50,途中
〇【上】ST　ｷｾ～ﾂｶ,A1864S,10,竹ノ塚,18.47.50,,上り,〇【上】ST　ｷｾ～ﾂｶ,18.47.50,,始発
〇【上】ST　ｷｾ～ﾂｶ,A1936S,2,鐘ヶ淵,,(中目黒),上り,〇【上】ST　ｷｾ～ﾂｶ,,(中目黒),終着
〇【上】ST　ｷｾ～ﾂｶ,A1936S,3,堀切,,＝,上り,〇【上】ST　ｷｾ～ﾂｶ,,＝,異常
〇【上】ST　ｷｾ～ﾂｶ,A1936S,4,牛田,,||,上り,〇【上】ST　ｷｾ～ﾂｶ,,||,終着
〇【上】ST　ｷｾ～ﾂｶ,A1936S,5,北千住,23.20,19.24.50,上り,〇【上】ST　ｷｾ～ﾂｶ,23.20,19.24.50,途中
〇【上】ST　ｷｾ～ﾂｶ,A1936S,6,小菅,20.50,21.20,上り,〇【上】ST　ｷｾ～ﾂｶ,20.50,21.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A1936S,7,五反野,19   ,19.30,上り,〇【上】ST　ｷｾ～ﾂｶ,19,19.30,途中
〇【上】ST　ｷｾ～ﾂｶ,A1936S,8,梅島,17.10,17.40,上り,〇【上】ST　ｷｾ～ﾂｶ,17.10,17.40,途中
〇【上】ST　ｷｾ～ﾂｶ,A1936S,9,西新井,14.40,15.40,上り,〇【上】ST　ｷｾ～ﾂｶ,14.40,15.40,途中
〇【上】ST　ｷｾ～ﾂｶ,A1936S,10,竹ノ塚,,19.12.30,上り,〇【上】ST　ｷｾ～ﾂｶ,,19.12.30,終着
〇【上】ST　ｷｾ～ﾂｶ,A2033T,2,鐘ヶ淵,(中目黒),,上り,〇【上】ST　ｷｾ～ﾂｶ,(中目黒),,始発
〇【上】ST　ｷｾ～ﾂｶ,A2033T,3,堀切,＝,,上り,〇【上】ST　ｷｾ～ﾂｶ,＝,,異常
〇【上】ST　ｷｾ～ﾂｶ,A2033T,4,牛田,||,,上り,〇【上】ST　ｷｾ～ﾂｶ,||,,始発
〇【上】ST　ｷｾ～ﾂｶ,A2033T,5,北千住,20.30.50,28.30,上り,〇【上】ST　ｷｾ～ﾂｶ,20.30.50,28.30,途中
〇【上】ST　ｷｾ～ﾂｶ,A2033T,6,小菅,26.30,26   ,上り,〇【上】ST　ｷｾ～ﾂｶ,26.30,26,途中
〇【上】ST　ｷｾ～ﾂｶ,A2033T,7,五反野,24.40,24.10,上り,〇【上】ST　ｷｾ～ﾂｶ,24.40,24.10,途中
〇【上】ST　ｷｾ～ﾂｶ,A2033T,8,梅島,22.50,22.20,上り,〇【上】ST　ｷｾ～ﾂｶ,22.50,22.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A2033T,9,西新井,20.50,19.20,上り,〇【上】ST　ｷｾ～ﾂｶ,20.50,19.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A2033T,10,竹ノ塚,20.17.10,,上り,〇【上】ST　ｷｾ～ﾂｶ,20.17.10,,始発
〇【上】ST　ｷｾ～ﾂｶ,A2040S,2,鐘ヶ淵,,(中目黒),上り,〇【上】ST　ｷｾ～ﾂｶ,,(中目黒),終着
〇【上】ST　ｷｾ～ﾂｶ,A2040S,3,堀切,,＝,上り,〇【上】ST　ｷｾ～ﾂｶ,,＝,異常
〇【上】ST　ｷｾ～ﾂｶ,A2040S,4,牛田,,||,上り,〇【上】ST　ｷｾ～ﾂｶ,,||,終着
〇【上】ST　ｷｾ～ﾂｶ,A2040S,5,北千住,59.40,21.02.15,上り,〇【上】ST　ｷｾ～ﾂｶ,59.40,21.02.15,途中
〇【上】ST　ｷｾ～ﾂｶ,A2040S,6,小菅,57.10,57.40,上り,〇【上】ST　ｷｾ～ﾂｶ,57.10,57.40,途中
